channel_id	tab	url	status	exit_code	new_archive_ids	completed_at
UCkhp-b2FIwAZVlV6kRN-1mg	videos	https://www.youtube.com/channel/UCkhp-b2FIwAZVlV6kRN-1mg/videos	cutoff_complete	101	0	2026-07-24T21:52:45.574Z
UCkhp-b2FIwAZVlV6kRN-1mg	shorts	https://www.youtube.com/channel/UCkhp-b2FIwAZVlV6kRN-1mg/shorts	cutoff_complete	101	0	2026-07-24T21:53:12.594Z
UCZvWg96vLbA3eGHCwnf3RRQ	videos	https://www.youtube.com/channel/UCZvWg96vLbA3eGHCwnf3RRQ/videos	cutoff_complete	101	0	2026-07-24T21:53:52.419Z
UCZvWg96vLbA3eGHCwnf3RRQ	shorts	https://www.youtube.com/channel/UCZvWg96vLbA3eGHCwnf3RRQ/shorts	cutoff_complete	101	0	2026-07-24T21:53:55.546Z
UCGEXUfJdSCBPtgWeF8Dl4lw	videos	https://www.youtube.com/channel/UCGEXUfJdSCBPtgWeF8Dl4lw/videos	cutoff_complete	101	0	2026-07-24T21:54:09.819Z
UCGEXUfJdSCBPtgWeF8Dl4lw	shorts	https://www.youtube.com/channel/UCGEXUfJdSCBPtgWeF8Dl4lw/shorts	cutoff_complete	101	0	2026-07-24T21:54:15.921Z
UCJs_jBKFIBm0o4HZg1mLMKQ	videos	https://www.youtube.com/channel/UCJs_jBKFIBm0o4HZg1mLMKQ/videos	cutoff_complete	101	0	2026-07-24T21:54:24.616Z
UCJs_jBKFIBm0o4HZg1mLMKQ	shorts	https://www.youtube.com/channel/UCJs_jBKFIBm0o4HZg1mLMKQ/shorts	cutoff_complete	101	0	2026-07-24T21:54:34.431Z
UCKC2Qfjps_rzW0-lUQIP7KA	videos	https://www.youtube.com/channel/UCKC2Qfjps_rzW0-lUQIP7KA/videos	cutoff_complete	101	0	2026-07-24T21:54:37.403Z
UCKC2Qfjps_rzW0-lUQIP7KA	shorts	https://www.youtube.com/channel/UCKC2Qfjps_rzW0-lUQIP7KA/shorts	cutoff_complete	101	0	2026-07-24T21:54:46.746Z
